table with row headers in column A and column headers in row 3. (leading dots indicate sub-parts),,,,,
"Table 1. Monthly Population Estimates for the United States: April 1, 2010 to December 1, 2020",,,,,
Year and Month,Resident Population,Resident Population Plus Armed Forces Overseas,Civilian Population,Civilian Noninstitutionalized Population,Household Population
2010,,,,,
.April 1,"308,758,105","309,191,211","307,528,001","303,527,414","300,759,105"
.May 1,"308,943,167","309,367,580","307,708,263","303,708,455","300,932,547"
.June 1,"309,122,946","309,545,555","307,890,277","303,891,249","301,100,707"
.July 1,"309,321,666","309,741,279","308,086,427","304,088,178","301,287,808"
.August 1,"309,535,947","309,951,795","308,308,214","304,309,942","301,499,721"
.September 1,"309,763,500","310,168,926","308,526,412","304,528,117","301,724,906"
.October 1,"309,989,569","310,390,859","308,756,374","304,758,056","301,948,607"
.November 1,"310,174,426","310,585,106","308,952,016","304,953,675","302,131,096"
.December 1,"310,348,632","310,769,486","309,136,174","305,137,810","302,302,934"
2011,,,,,
.January 1,"310,538,923","310,946,962","309,321,437","305,323,050","302,490,857"
.February 1,"310,693,489","311,098,039","309,467,867","305,469,457","302,643,055"
.March 1,"310,832,137","311,248,506","309,618,113","305,619,680","302,779,335"
.April 1,"311,009,155","311,417,782","309,784,756","305,786,300","302,953,985"
.May 1,"311,183,465","311,587,063","309,957,298","305,958,819","303,125,927"
.June 1,"311,351,195","311,769,648","310,135,634","306,137,132","303,291,289"
.July 1,"311,556,874","311,973,914","310,339,224","306,340,687","303,494,581"
.August 1,"311,764,497","312,180,558","310,548,583","306,551,537","303,700,463"
.September 1,"311,997,529","312,402,633","310,773,912","306,778,357","303,931,754"
.October 1,"312,207,836","312,616,001","310,997,310","307,003,246","304,140,320"
.November 1,"312,397,256","312,799,689","311,180,963","307,188,390","304,327,999"
.December 1,"312,588,416","312,978,205","311,363,530","307,372,448","304,517,418"
2012,,,,,
.January 1,"312,786,761","313,149,997","311,551,431","307,561,840","304,714,022"
.February 1,"312,932,963","313,304,120","311,705,635","307,717,535","304,858,483"
.March 1,"313,112,458","313,462,838","311,871,644","307,885,035","305,036,237"
.April 1,"313,283,352","313,628,923","312,041,117","308,055,999","305,205,390"
.May 1,"313,446,781","313,790,652","312,210,339","308,226,712","305,367,078"
.June 1,"313,634,392","313,976,041","312,397,944","308,415,808","305,552,948"
.July 1,"313,830,990","314,167,558","312,590,831","308,610,189","305,747,814"
.August 1,"314,048,849","314,377,381","312,802,483","308,824,328","305,967,095"
.September 1,"314,282,839","314,600,057","313,025,511","309,049,843","306,202,507"
.October 1,"314,498,196","314,805,556","313,235,942","309,262,761","306,419,286"
.November 1,"314,695,119","315,003,708","313,439,850","309,469,156","306,617,631"
.December 1,"314,872,482","315,180,866","313,622,002","309,653,795","306,796,416"
2013,,,,,
.January 1,"315,035,869","315,335,976","313,791,267","309,825,547","306,961,225"
.February 1,"315,160,296","315,464,793","313,918,559","309,955,326","307,087,074"
.March 1,"315,301,845","315,605,141","314,056,958","310,096,212","307,230,045"
.April 1,"315,464,179","315,759,039","314,212,233","310,253,974","307,393,801"
.May 1,"315,607,825","315,923,105","314,375,799","310,420,027","307,538,869"
.June 1,"315,806,910","316,108,760","314,560,534","310,607,249","307,739,376"
.July 1,"315,993,715","316,294,766","314,751,147","310,800,339","307,927,587"
.August 1,"316,202,222","316,514,531","314,970,361","311,019,319","308,132,937"
.September 1,"316,433,402","316,738,543","315,195,920","311,244,644","308,360,960"
.October 1,"316,656,651","316,952,905","315,414,948","311,463,438","308,581,052"
.November 1,"316,876,274","317,156,876","315,624,676","311,672,932","308,797,518"
.December 1,"317,055,638","317,338,617","315,811,659","311,859,681","308,973,725"
2014,,,,,
.January 1,"317,243,472","317,519,206","316,003,389","312,051,177","309,158,402"
.February 1,"317,408,987","317,677,384","316,161,709","312,209,263","309,320,760"
.March 1,"317,564,034","317,838,920","316,325,750","312,373,070","309,472,650"
.April 1,"317,730,420","318,009,154","316,498,899","312,545,985","309,635,879"
.May 1,"317,914,973","318,187,658","316,680,343","312,727,195","309,817,275"
.June 1,"318,105,760","318,380,521","316,874,440","312,921,058","310,004,905"
.July 1,"318,301,008","318,576,955","317,075,077","313,121,454","310,196,991"
.August 1,"318,539,492","318,806,531","317,312,008","313,360,538","310,435,315"
.September 1,"318,774,334","319,036,200","317,550,725","313,601,408","310,669,997"
.October 1,"319,005,484","319,262,799","317,786,983","313,839,819","310,900,987"
.November 1,"319,221,927","319,471,435","318,002,497","314,057,486","311,117,270"
.December 1,"319,412,095","319,651,541","318,188,312","314,245,454","311,307,278"
2015,,,,,
.January 1,"319,594,955","319,832,190","318,377,796","314,437,091","311,489,978"
.February 1,"319,734,181","319,976,213","318,526,299","314,587,747","311,629,044"
.March 1,"319,890,583","320,130,646","318,681,166","314,744,767","311,785,286"
.April 1,"320,063,719","320,300,314","318,854,412","314,920,166","311,958,262"
.May 1,"320,244,536","320,480,147","319,038,581","315,106,488","312,138,919"
.June 1,"320,430,500","320,667,889","319,237,091","315,307,151","312,324,723"
.July 1,"320,635,163","320,870,703","319,438,649","315,510,861","312,529,229"
.August 1,"320,857,156","321,093,062","319,660,047","315,734,946","312,752,763"
.September 1,"321,080,050","321,316,348","319,881,946","315,959,532","312,977,198"
.October 1,"321,311,006","321,539,880","320,106,927","316,187,200","313,209,695"
.November 1,"321,502,565","321,741,248","320,311,123","316,394,083","313,402,795"
.December 1,"321,710,374","321,926,178","320,504,706","316,590,353","313,612,145"
2016,,,,,
.January 1,"321,864,095","322,114,094","320,689,908","316,778,242","313,767,407"
.February 1,"322,035,525","322,277,451","320,851,837","316,942,858","313,940,378"
.March 1,"322,196,377","322,428,943","321,002,483","317,096,191","314,102,771"
.April 1,"322,368,465","322,596,809","321,172,307","317,268,702","314,276,400"
.May 1,"322,548,296","322,773,714","321,352,800","317,451,882","314,457,772"
.June 1,"322,734,136","322,960,309","321,536,841","317,638,610","314,645,153"
.July 1,"322,941,311","323,161,011","321,738,826","317,843,286","314,853,878"
.August 1,"323,143,492","323,369,427","321,947,214","318,052,683","315,055,828"
.September 1,"323,346,446","323,576,012","322,155,667","318,262,145","315,258,551"
.October 1,"323,561,216","323,783,987","322,366,674","318,474,161","315,473,090"
.November 1,"323,743,389","323,968,882","322,554,164","318,662,660","315,655,032"
.December 1,"323,907,436","324,135,365","322,724,089","318,833,594","315,818,848"
2017,,,,,
.January 1,"324,076,093","324,296,746","322,891,342","319,001,856","315,987,274"
.February 1,"324,208,204","324,427,384","323,018,499","319,130,022","316,119,154"
.March 1,"324,342,783","324,559,999","323,151,934","319,264,466","316,253,502"
.April 1,"324,480,012","324,704,641","323,298,311","319,411,852","316,390,500"
.May 1,"324,636,728","324,861,316","323,456,999","319,571,549","316,546,985"
.June 1,"324,801,865","325,027,016","323,619,947","319,735,506","316,711,891"
.July 1,"324,985,539","325,206,030","323,794,924","319,911,489","316,895,346"
.August 1,"325,158,822","325,386,457","323,971,588","320,089,005","317,068,888"
.September 1,"325,339,848","325,565,293","324,147,751","320,266,020","317,250,173"
.October 1,"325,507,794","325,741,643","324,321,979","320,441,100","317,418,378"
.November 1,"325,663,325","325,898,856","324,477,604","320,597,577","317,574,168"
.December 1,"325,802,062","326,036,736","324,616,166","320,736,991","317,713,164"
2018,,,,,
.January 1,"325,927,236","326,163,263","324,741,274","320,862,951","317,838,597"
.February 1,"326,031,740","326,268,894","324,846,442","320,968,971","317,943,360"
.March 1,"326,140,981","326,377,173","324,953,613","321,076,994","318,052,860"
.April 1,"326,260,373","326,496,848","325,073,452","321,197,685","318,172,511"
.May 1,"326,392,347","326,628,822","325,205,426","321,330,511","318,304,744"
.June 1,"326,533,251","326,769,726","325,346,330","321,472,267","318,445,907"
.July 1,"326,687,501","326,923,976","325,500,580","321,627,363","318,600,417"
.August 1,"326,850,358","327,086,833","325,663,437","321,790,830","318,763,501"
.September 1,"327,011,652","327,248,127","325,824,731","321,952,734","318,925,022"
.October 1,"327,170,529","327,407,004","325,983,608","322,112,221","319,084,126"
.November 1,"327,310,325","327,546,800","326,123,404","322,252,627","319,224,149"
.December 1,"327,431,120","327,667,595","326,244,199","322,374,032","319,345,171"
2019 [1],,,,,
.January 1,"327,540,066","327,776,541","326,353,145","322,483,588","319,454,344"
.February 1,"327,635,482","327,871,957","326,448,561","322,579,614","319,549,987"
.March 1,"327,733,545","327,970,020","326,546,624","322,678,287","319,648,277"
.April 1,"327,842,998","328,079,473","326,656,077","322,788,350","319,757,957"
.May 1,"327,964,770","328,201,245","326,777,849","322,910,732","319,879,956"
.June 1,"328,095,474","328,331,949","326,908,553","323,042,046","320,010,887"
.July 1,"328,239,523","328,475,998","327,052,602","323,186,697","320,155,161"
.August 1,"328,409,545","328,646,020","327,222,624","323,356,719","320,325,183"
.September 1,"328,578,004","328,814,479","327,391,083","323,525,178","320,493,642"
.October 1,"328,744,045","328,980,520","327,557,124","323,691,219","320,659,683"
.November 1,"328,891,009","329,127,484","327,704,088","323,838,183","320,806,647"
.December 1,"329,018,969","329,255,444","327,832,048","323,966,143","320,934,607"
2020 [1],,,,,
.January 1,"329,135,084","329,371,559","327,948,163","324,082,258","321,050,722"
.February 1,"329,237,661","329,474,136","328,050,740","324,184,835","321,153,299"
.March 1,"329,342,883","329,579,358","328,155,962","324,290,057","321,258,521"
.April 1,"329,459,499","329,695,974","328,272,578","324,406,673","321,375,137"
.May 1,"329,588,430","329,824,905","328,401,509","324,535,604","321,504,068"
.June 1,"329,726,295","329,962,770","328,539,374","324,673,469","321,641,933"
.July 1,"329,877,505","330,113,980","328,690,584","324,824,679","321,793,143"
.August 1,"330,047,526","330,284,001","328,860,605","324,994,700","321,963,164"
.September 1,"330,215,986","330,452,461","329,029,065","325,163,160","322,131,624"
.October 1,"330,382,026","330,618,501","329,195,105","325,329,200","322,297,664"
.November 1,"330,528,990","330,765,465","329,342,069","325,476,164","322,444,628"
.December 1,"330,656,950","330,893,425","329,470,029","325,604,124","322,572,588"
"[1] The monthly estimates beginning with August 1, 2019 are short-term projections.",,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program. For descriptions of the Resident Population, Resident Population Plus Armed Forces Overseas, Civilian Population, Civilian Noninstitutionalized Population, and Household Population universes, see Population Estimates Terms and Definitions at http://www.census.gov/programs-surveys/popest/about/glossary.html. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,
Suggested Citation:,,,,,
"Table 1. Monthly Population Estimates for the United States: April 1, 2010 to December 1, 2020 (NA-EST2019-01)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: December 2019,,,,,
